id,type,code,prefLabel
https://data.omgeving.vlaanderen.be/id/concept/eenheidsalias/1,http://www.w3.org/2004/02/skos/core#Concept|https://data.omgeving.vlaanderen.be/ns/parameter#Eenheid,E_96,mg/kg ds
https://data.omgeving.vlaanderen.be/id/concept/eenheidsalias/10,http://www.w3.org/2004/02/skos/core#Concept|https://data.omgeving.vlaanderen.be/ns/parameter#Eenheid,E_105,kgN/d
https://data.omgeving.vlaanderen.be/id/concept/eenheidsalias/11,http://www.w3.org/2004/02/skos/core#Concept|https://data.omgeving.vlaanderen.be/ns/parameter#Eenheid,E_106,gN/d
https://data.omgeving.vlaanderen.be/id/concept/eenheidsalias/12,http://www.w3.org/2004/02/skos/core#Concept|https://data.omgeving.vlaanderen.be/ns/parameter#Eenheid,E_107,mgN/d
https://data.omgeving.vlaanderen.be/id/concept/eenheidsalias/13,http://www.w3.org/2004/02/skos/core#Concept|https://data.omgeving.vlaanderen.be/ns/parameter#Eenheid,E_108,tN/jr
https://data.omgeving.vlaanderen.be/id/concept/eenheidsalias/14,http://www.w3.org/2004/02/skos/core#Concept|https://data.omgeving.vlaanderen.be/ns/parameter#Eenheid,E_109,kgN/jr
https://data.omgeving.vlaanderen.be/id/concept/eenheidsalias/15,http://www.w3.org/2004/02/skos/core#Concept|https://data.omgeving.vlaanderen.be/ns/parameter#Eenheid,E_110,kgN/u
https://data.omgeving.vlaanderen.be/id/concept/eenheidsalias/16,http://www.w3.org/2004/02/skos/core#Concept|https://data.omgeving.vlaanderen.be/ns/parameter#Eenheid,E_111,mgN
https://data.omgeving.vlaanderen.be/id/concept/eenheidsalias/17,http://www.w3.org/2004/02/skos/core#Concept|https://data.omgeving.vlaanderen.be/ns/parameter#Eenheid,E_112,gN
https://data.omgeving.vlaanderen.be/id/concept/eenheidsalias/18,http://www.w3.org/2004/02/skos/core#Concept|https://data.omgeving.vlaanderen.be/ns/parameter#Eenheid,E_113,kgN
https://data.omgeving.vlaanderen.be/id/concept/eenheidsalias/19,http://www.w3.org/2004/02/skos/core#Concept|https://data.omgeving.vlaanderen.be/ns/parameter#Eenheid,E_114,gO2
